name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Chicago, IL, United States",2024-10-11,28.4,12.1,20,27.2,12.1,19.8,7.2,46.2,0,0,0,,0,0,40.1,24.9,230,1018.6,43.1,16,48.1,4.2,4,10,2024-10-11T06:59:01,2024-10-11T18:14:35,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-12,21.4,16,18,21.4,16,18,11.2,64.9,0,0,0,,0,0,51.3,32.7,53.9,1015,81.3,16,44.8,3.8,4,10,2024-10-12T07:00:09,2024-10-12T18:12:58,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-13,19,10.9,15.4,19,10.9,15.4,7.8,62.3,0,0,0,,0,0,62.9,37.9,307.7,1010,87.7,16,42.4,3.8,4,10,2024-10-13T07:01:16,2024-10-13T18:11:22,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-14,14.1,7.4,10.5,14.1,4.5,8.9,3,61.6,1.004,100,12.5,rain,0,0,60.3,33.9,330.3,1018.1,80,15.7,24.8,2.1,1,10,2024-10-14T07:02:24,2024-10-14T18:09:46,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-15,8.8,5.8,7.2,5.7,1.6,3.7,2.8,74.1,8.977,100,58.33,rain,0,0,56.6,33,344.4,1023.5,72.5,15.4,15.2,1.2,1,10,2024-10-15T07:03:33,2024-10-15T18:08:11,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72534014819,72212604879,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-16,14.4,3.1,8.4,14.4,-0.3,6.7,-0.7,55.4,0,0,0,,0,0,37.8,19.9,327.8,1028.9,25.5,16,50.2,4.4,5,10,2024-10-16T07:04:41,2024-10-16T18:06:37,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-17,18.2,3.1,10.5,18.2,1.2,9.9,-1.3,47.2,0,0,0,,0,0,36.3,19.1,201.5,1026.7,6.3,16,69.2,5.8,6,10,2024-10-17T07:05:50,2024-10-17T18:05:04,0.5,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-18,20.4,6.6,13.4,20.4,5.3,12.9,0.4,42.7,0,0,0,,0,0,36,20.7,187.8,1029.7,5.3,16,65.8,5.7,6,10,2024-10-18T07:07:00,2024-10-18T18:03:32,0.54,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-19,22,7.7,14.6,22,6.8,14.5,3.4,49,0,0,0,,0,0,25.9,17.7,203.7,1030.7,20.6,16,66,5.7,6,10,2024-10-19T07:08:09,2024-10-19T18:02:01,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-20,25.7,10.5,17.7,25.7,10.5,17.7,3.7,41.8,0,0,0,,0,0,37.1,21.6,216.4,1026,0,16,62.8,5.4,5,10,2024-10-20T07:09:19,2024-10-20T18:00:31,0.61,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-21,27.6,12.5,19.7,26.5,12.5,19.6,4.4,38.8,0,0,0,,0,0,35.3,20.3,213.4,1022.2,25.1,16,67.1,5.8,5,10,2024-10-21T07:10:30,2024-10-21T17:59:02,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-22,23.1,12.4,18.5,23.1,12.4,18.5,5.6,43.6,0.068,100,8.33,rain,0,0,50.5,26.7,190.1,1015.9,67.8,16,24.6,2,2,10,2024-10-22T07:11:40,2024-10-22T17:57:34,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-23,18.6,9.3,15.3,18.6,9.3,15.3,5.2,52.2,0,0,0,,0,0,40.7,25.3,305.2,1017.5,38.8,16,54.3,4.7,5,10,2024-10-23T07:12:51,2024-10-23T17:56:06,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-24,17.9,5.2,12,17.9,3.9,11.7,1.8,52.4,0,0,0,,0,0,33.1,21.4,190.7,1020.3,34.9,16,53.6,4.6,6,10,2024-10-24T07:14:02,2024-10-24T17:54:41,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-25,19.4,9.8,13.5,19.4,7.8,13.4,7.1,67.7,18.564,100,37.5,rain,0,0,43.9,21.9,305.3,1019.1,66.8,14.8,49.6,4.2,5,10,2024-10-25T07:15:14,2024-10-25T17:53:16,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72534014819,72212604879,KORD,KMDW,72530094846,F1983,74466504838,KPWK,KIGQ"
"Chicago, IL, United States",2024-10-26,14.2,6.8,9.9,14.2,4.4,9,-0.2,51.1,0,0,0,,0,0,37.1,19.9,358.7,1030.6,34.1,16,58,5,6,10,2024-10-26T07:16:26,2024-10-26T17:51:52,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-27,14.9,3.7,9.5,14.9,3.7,9.3,-0.1,54,0,0,0,,0,0,26.6,12.6,197.3,1027.8,29.6,16,48.9,4.2,6,10,2024-10-27T07:17:38,2024-10-27T17:50:30,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-28,19.3,6.9,13.4,19.3,5.1,12.7,1.9,46.7,0,0,0,,0,0,48.2,24.4,165.7,1019.5,69.3,16,41.2,3.6,3,10,2024-10-28T07:18:50,2024-10-28T17:49:09,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-29,28.2,19.2,23.4,27.9,19.2,23.3,13,53.1,0,0,0,,0,0,59.6,38.4,200.1,1012,83.4,16,40.1,3.5,5,10,2024-10-29T07:20:03,2024-10-29T17:47:49,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-30,26.8,20.5,23.1,27,20.5,23.1,13.4,55,0,0,0,,0,0,59.5,39.6,202.4,1014.2,76.5,16,39.9,3.3,3,10,2024-10-30T07:21:16,2024-10-30T17:46:31,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-31,22.5,7.6,16.1,22.5,3.3,15.2,9.4,65.3,0.629,100,12.5,rain,0,0,73.5,39.5,230.8,1010,92.5,16,16.9,1.4,1,10,2024-10-31T07:22:29,2024-10-31T17:45:14,0.97,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-01,12,4.2,7.6,12,1.7,5.8,0.4,61.3,0,0,0,,0,0,56.1,30.2,307,1024.7,29.7,16,56.1,4.9,6,10,2024-11-01T07:23:42,2024-11-01T17:43:58,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-02,14.2,4.3,8.9,14.2,2,8.1,2.2,64.6,0,0,0,,0,0,33.5,16.8,143.7,1028.4,45.7,16,47.5,4.1,5,10,2024-11-02T07:24:56,2024-11-02T17:42:44,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-03,18.1,10.6,13.9,18.1,10.6,13.9,5.4,57,0.696,100,8.33,rain,0,0,49.7,27.2,140.8,1018.5,97.7,16,11.2,1.1,1,10,2024-11-03T06:26:09,2024-11-03T16:41:31,0.08,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-04,20.5,17.7,18.8,20.5,17.7,18.8,16.2,84.7,8.832,100,45.83,rain,0,0,49.8,30.2,193.6,1010.7,99,13.9,8.4,0.8,0,10,2024-11-04T06:27:23,2024-11-04T16:40:20,0.11,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-05,19.7,16.6,18.2,19.7,16.6,18.2,16.2,87.9,27.928,100,66.67,rain,0,0,61,33.3,194.4,1006.1,95.4,12.9,8.6,0.8,1,10,2024-11-05T06:28:37,2024-11-05T16:39:11,0.15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-06,16,10.2,11.8,16,10.2,11.8,7.6,75.6,0,0,0,,0,0,31.7,16.8,310.1,1017.5,90.2,16,11.1,1,0,10,2024-11-06T06:29:51,2024-11-06T16:38:03,0.18,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-07,15.5,7,10.9,15.5,6.7,10.1,3.3,60.5,0,0,0,,0,0,24.5,14.9,308.4,1026,33.3,16,43.9,3.8,5,10,2024-11-07T06:31:05,2024-11-07T16:36:57,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-08,17.2,6.7,11.4,17.2,4.8,10.8,3.6,61.1,0,0,0,,0,0,34.9,19.4,313.1,1024.9,30.3,16,47.7,4.3,5,10,2024-11-08T06:32:19,2024-11-08T16:35:52,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-09,12.9,8.6,11,12.9,6.5,10.5,5.4,68.4,2.968,100,20.83,rain,0,0,38.5,18.1,117.6,1022.6,81.4,15.7,14,1.3,1,10,2024-11-09T06:33:33,2024-11-09T16:34:49,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-10,17.1,9.8,12.5,17.1,7.6,12.3,8.6,78.1,3.047,100,20.83,rain,0,0,60.6,35.4,229.1,1010.4,92.4,12.9,33.2,2.9,3,10,2024-11-10T06:34:48,2024-11-10T16:33:48,0.32,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-11,14.5,7.3,11,14.5,4.2,10.1,3.8,61.8,0,0,0,,0,0,48.6,30.9,300,1014.4,58.9,16,46.3,3.9,5,10,2024-11-11T06:36:02,2024-11-11T16:32:49,0.36,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-12,9.7,6.1,8,7.6,2.9,5.2,1.7,64.9,0,0,0,,0,0,38.9,25.2,78,1025.9,64.1,16,36.7,3,3,10,2024-11-12T06:37:16,2024-11-12T16:31:51,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-13,11.3,4.7,8.2,11.3,1.7,6.2,2.6,69.1,8.153,100,25,rain,0,0,41.4,24.8,129.3,1018.8,87.3,14,25.4,2.1,2,10,2024-11-13T06:38:29,2024-11-13T16:30:56,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-14,12.2,9.2,10.9,12.2,7.4,10.6,8.9,87.8,4.385,100,29.17,rain,0,0,37.1,22.7,298.9,1010,99.9,10.7,12.4,1.1,1,10,2024-11-14T06:39:43,2024-11-14T16:30:02,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-15,12,7.8,9.9,12,7.2,9.1,5.3,73.5,0,0,0,,0,0,24.1,11.6,308.4,1019.7,84.9,15.9,13.4,1,1,10,2024-11-15T06:40:56,2024-11-15T16:29:10,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-16,11.2,6.4,9.3,11.2,5.7,8.5,4.1,70.1,0,0,0,,0,0,44.4,22.5,162.1,1019.1,91.3,15.9,23.2,1.9,1,10,2024-11-16T06:42:10,2024-11-16T16:28:21,0.53,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-17,15.4,8.1,11.6,15.4,6,10.7,7.8,77.6,0.24,100,16.67,rain,0,0,38.9,19.8,212.4,1013.4,86.4,15.8,29.2,2.5,2,10,2024-11-17T06:43:22,2024-11-17T16:27:33,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-18,15.8,10.3,13,15.8,10.3,13,11.3,89.7,9.245,100,29.17,rain,0,0,51,30.3,119.1,1010.7,95,8.6,6.8,0.5,0,10,2024-11-18T06:44:35,2024-11-18T16:26:47,0.59,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-19,17.6,9,14.9,17.6,7.2,14.8,9.8,71.9,2.692,100,20.83,rain,0,0,57.6,33,214.2,1002,69.2,15,25.6,2.2,2,10,2024-11-19T06:45:47,2024-11-19T16:26:03,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-20,9.6,1,5.9,7.4,-4.6,2.1,-0.7,64.2,0.583,100,12.5,rain,0,0,61.1,40.5,267.5,1009.1,84.7,14.8,32.4,2.9,2,10,2024-11-20T06:46:59,2024-11-20T16:25:22,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-21,4.2,-0.8,1.4,0.3,-6.9,-3.9,-1.7,80.4,3.725,100,50,"rain,snow",10.1,2,56.5,36.5,298.7,1006.9,95.6,10.9,7.7,0.8,0,10,2024-11-21T06:48:10,2024-11-21T16:24:42,0.69,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72534014819,72212604879,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-22,8.7,2.5,6.4,5.6,-1,3,2.5,76.2,0,0,0,,0,0,44.3,27,320.5,1015.1,94.4,16,18.7,1.7,1,10,2024-11-22T06:49:20,2024-11-22T16:24:05,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-23,6.4,3.7,5,3.4,0.4,2,1.2,76.2,0,0,0,,0,0,33.1,17.1,266.2,1017.2,99.5,16,21,1.8,1,10,2024-11-23T06:50:30,2024-11-23T16:23:30,0.76,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-24,11.3,3.2,7.3,11.3,0.2,6,3.2,75.7,0,0,0,,0,0,38.9,17.5,146.8,1013,95.5,14.9,29,2.4,2,10,2024-11-24T06:51:40,2024-11-24T16:22:57,0.79,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-25,11.6,3.7,9.1,11.6,-1.2,7.6,4.8,74.6,0,0,0,,0,0,48.9,27,299.4,1011.4,98.6,15,9.5,0.7,1,10,2024-11-25T06:52:48,2024-11-25T16:22:26,0.82,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-26,4.2,-3,1.1,1.1,-8.2,-3.2,-6.7,56.9,0,0,0,,0,0,42.6,28.2,263.5,1020.7,49.4,16,39.5,3.5,2,10,2024-11-26T06:53:56,2024-11-26T16:21:58,0.85,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-27,6.3,2.5,4.1,6.3,-0.7,2.2,-3,60.5,0,0,0,,0,0,37.1,25.6,37.5,1013.5,96.5,16,20.2,1.7,1,10,2024-11-27T06:55:03,2024-11-27T16:21:31,0.89,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-28,3.4,-2.3,-0.9,-1.5,-8.6,-6.3,-6.6,65.5,0,0,0,,0,0,52.3,26,312.1,1016.6,92.3,16,16.5,1.5,1,10,2024-11-28T06:56:09,2024-11-28T16:21:07,0.92,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-29,-1.8,-6.8,-4.5,-7.3,-13.3,-11.3,-12.1,55.5,0,0,0,,0,0,48,28.2,282.5,1021.2,84.1,15.6,23.6,2.1,1,10,2024-11-29T06:57:15,2024-11-29T16:20:46,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-30,-3.4,-9.6,-6.7,-9.6,-17,-13.3,-13.8,58,0,0,0,,0,0,39.6,25.6,267.8,1022.3,29.9,16,39.4,3.4,2,10,2024-11-30T06:58:19,2024-11-30T16:20:26,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-01,-2.5,-9.6,-6.4,-8.1,-16.6,-12.2,-13.8,56.1,0,0,0,,0,0,36.4,20.5,291.3,1024.9,13.3,16,38.1,3.2,3,10,2024-12-01T06:59:22,2024-12-01T16:20:10,0,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-02,-3.2,-9.6,-6.4,-8.3,-13.9,-10.9,-11,70.6,0,0,0,,0,0,31.3,17.6,292.3,1029.9,47.1,16,24,2,1,10,2024-12-02T07:00:24,2024-12-02T16:19:55,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-03,-0.2,-7.6,-4.5,-5.5,-12.3,-10.1,-9.1,70.6,0,0,0,,0,0,47.4,30.1,233.8,1030.3,57.8,16,33,2.7,3,10,2024-12-03T07:01:25,2024-12-03T16:19:43,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-04,4.2,-6.8,-0.7,-0.5,-14.7,-7.2,-7.1,63,0,0,0,rain,0.3,0,87.4,52.4,253.2,1009.3,70.4,15.4,16.3,1.4,1,10,2024-12-04T07:02:25,2024-12-04T16:19:33,0.12,Partially cloudy,Partly cloudy throughout the day.,wind,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-05,-1.7,-10.8,-6.3,-6.6,-20.5,-13.6,-14.5,52.4,0,0,0,snow,0.8,0,57.9,37.6,303.8,1025.9,31.8,16,41.9,3.5,4,10,2024-12-05T07:03:23,2024-12-05T16:19:25,0.16,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-06,-0.1,-9.3,-4.3,-5,-15.5,-9.7,-12.8,53.5,0,0,0,,0,0,43.4,26.8,236.5,1027,39.4,16,34.6,2.8,3,10,2024-12-06T07:04:20,2024-12-06T16:19:20,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-07,10.3,-3.8,3.1,10.3,-8.8,-0.8,-6.8,48.8,0,0,0,,0,0,51.8,31.1,222,1015.2,64.2,16,29.3,2.7,2,10,2024-12-07T07:05:15,2024-12-07T16:19:18,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-08,13.1,4.7,8.9,13.1,1.6,7.4,1.7,61.3,0,0,0,,0,0,48.3,22,218.8,1007.8,44.7,15.9,28.1,2.4,2,10,2024-12-08T07:06:10,2024-12-08T16:19:17,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-09,12.3,6.9,9.6,12.3,3.1,7.6,2,62.1,0,0,0,,0,0,46.4,26,245.9,1006.8,74.8,15.1,23.5,2,1,10,2024-12-09T07:07:02,2024-12-09T16:19:19,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
